tx_hash,from_address,to_address,block_number,timestamp,date_utc,function,token_id_decimal,is_error,old_owner_staker,new_owner_attacker
0x02df4c627424a7e663558b9cf6cc59d1e475c16bedfdeee2a4e0d92ce61220b2,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077200,1778566799,2026-05-12T06:19:59Z,bridgeNFTsV1,1594,0,0x28aee851e7b65a46b71de302cffeeb2c557847c6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x94bb65b3e46559548d734dab0a489579ff3620bbd6a2d3035f5323358e522cf8,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077201,1778566811,2026-05-12T06:20:11Z,bridgeNFTsV1,1595,0,0x28aee851e7b65a46b71de302cffeeb2c557847c6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x6ea77c12d80a1ef0f754ae55c479bece520db81fb3ee7ec37719c3260a33dd15,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077202,1778566823,2026-05-12T06:20:23Z,bridgeNFTsV1,1596,0,0x28aee851e7b65a46b71de302cffeeb2c557847c6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xa1f9b9b3591d00f964ac94f996650ce812b36df1642e55be73e60fe646174fde,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077203,1778566835,2026-05-12T06:20:35Z,bridgeNFTsV1,1597,0,0x28aee851e7b65a46b71de302cffeeb2c557847c6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x827b87700838e64d6e1cf9ff142476dd2ec479d366b9bb831d0f5ac9b606de8c,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077204,1778566847,2026-05-12T06:20:47Z,bridgeNFTsV1,1601,0,0xc923dd451dfb1fc6a4608982c6c077414da06a4d,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x26517f0cf6e95ec7f2883c3497622b5db91867584db9b0f63fdac0ef22242432,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077205,1778566859,2026-05-12T06:20:59Z,bridgeNFTsV1,1602,0,0xc923dd451dfb1fc6a4608982c6c077414da06a4d,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xd2f81fbaeed3235f85249914d87f9ddabf2a3f840cbe3003d5b42f25108bd522,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077206,1778566871,2026-05-12T06:21:11Z,bridgeNFTsV1,1603,0,0xc923dd451dfb1fc6a4608982c6c077414da06a4d,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xee7a907058bf3e1a2b3e0f5e9606fc938c615df8c8decfdc084da5a7c72b19f9,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077207,1778566883,2026-05-12T06:21:23Z,bridgeNFTsV1,1604,0,0x81168c14e5a89f60b30e9a7f82a229406a64369d,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xe603fc105635ccbf010b3293c5c58cf04dcf15ad478b7d2087e6bcd41d2877d9,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077208,1778566895,2026-05-12T06:21:35Z,bridgeNFTsV1,1605,0,0x81168c14e5a89f60b30e9a7f82a229406a64369d,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x5f82a08d3b3127d9d597fc0678445311a02294a9e07b4575e6647165bcbe3975,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077209,1778566907,2026-05-12T06:21:47Z,bridgeNFTsV1,1607,0,0x35e14b0722dc1a81893ff8f7f99f931aca5b2d25,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xb80a075c9cf49168c2e3b82eeb8e8bb64ef5a963760872269cab4db56017ee1c,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077210,1778566919,2026-05-12T06:21:59Z,bridgeNFTsV1,1608,0,0x35e14b0722dc1a81893ff8f7f99f931aca5b2d25,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xa9daabb31dde67d756445841402ecdfd60165ac3659beed709aa8e62ea82265e,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077211,1778566931,2026-05-12T06:22:11Z,bridgeNFTsV1,1609,0,0x35e14b0722dc1a81893ff8f7f99f931aca5b2d25,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x6f905ea7357bb537b70e0b0ea3d53954671a177e283a318fbae38878af43e502,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077212,1778566943,2026-05-12T06:22:23Z,bridgeNFTsV1,1610,0,0x35e14b0722dc1a81893ff8f7f99f931aca5b2d25,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x3b9de623cc4913592a277796a5cc7e899ff3bdd74442a86b8c464bbbdb84bd90,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077213,1778566955,2026-05-12T06:22:35Z,bridgeNFTsV1,1613,0,0xdf4dd7f972926d7d82b8a3bb3feb5254c368045c,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x89f043a8bb430950735b099edd252363cf22e3a15f2d5bde31a01c64746b158e,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077218,1778567015,2026-05-12T06:23:35Z,bridgeNFTsV1,906,0,0x50f27cdb650879a41fb07038bf2b818845c20e17,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x50bfca6d36d0ea0ea4c90c939aea8590f20e6b9d901e1de92833eac453b940ad,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077219,1778567027,2026-05-12T06:23:47Z,bridgeNFTsV1,916,0,0xa7d7ac8fe7e8693b5599c69cc7d4f6226677845b,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x9f9276bb6297465dc4088db1c186bcd15cf76124a257fa8795db4ae8a665c0a0,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077220,1778567039,2026-05-12T06:23:59Z,bridgeNFTsV1,917,0,0x0fe5e887dae7a24836a192622fb84ce7b97ac306,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x1aa38dbe5c796b86051b51b39562d22cf86b5a24cfad2e40fa75cf306729d2e9,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077220,1778567039,2026-05-12T06:23:59Z,bridgeNFTsV1,918,0,0x2b564248d8f4fd425f3d01a1c36817deaac159be,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x8dbcaef24b2f809c0286325ad8e6aae6ffecb4d934e1c3d6aad63931510a598b,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,929,0,0xcaa16004955f05599c7cf215aa271a4f3544d6d2,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x0b19d5b2e3a6b2c5dff83385f7081bcc68e4aef5a9497e78e7c63935d7c24ca2,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,932,0,0xe5e58cf23a648dc2ba89355d76e04dc2869be98d,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xd1b7c1a0d973ba41f6b58157334646fe0434e71e1ebcf77e50ccc5f135f84c2b,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,935,0,0xd7855ba8a53951b064da7de0d07dae0eed248547,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x9f4845ba1d8cff4707190601f5ba323b8795d9c8c4451176a16ad456d6140fd6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,939,0,0xad4489f64a8be791294116d3e99d2721c7f0a72a,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xc177fea068d3bb26d6108157f57a99ca1b577f4e66cb53b3807c3d14739b86df,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,979,0,0xf2855ef7c734ec1f965915daafe668450e4b8212,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x7e64e395931f987562b357a619e7cace15fa23919d60ae4357097fb7ff370e02,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1616,0,0x13c03641c376bbd2113e7fdd02e92d0bbef72511,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x3bbabe57dd7acab7f9a76f1de1308d7c1fdc78c23d08537347b2768b48d3d0cc,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1617,0,0x13c03641c376bbd2113e7fdd02e92d0bbef72511,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x60d9101cf710f3686ac4ea8e53fb3476cf08cc7e9498b2345085288ddc5f4599,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1619,0,0xaa0905af0276de5ded9d425a8d4013b861c661a1,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x74e79829c2e20d786cdaa486e0dd6b226ca9d819c07ebafcecf59a6f6d2db41b,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1620,0,0x4ad7fe5bf17d62ee3de0d4dd9496a7cd53c98225,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x40d9dcd5fe9c612b28d2a309d4348dc3e99e1659365bccfcacd3885262f3d0a8,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1621,0,0x33b4c240c7a3af3e5365ebb2cda44bad82e4878e,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x1f0fd2690522bef60aee5675be591e4f0d39288ff9798a2eee4cf9ad4cde7de2,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1624,0,0xcf9bb70b2f1accb846e8b0c665a1ab5d5d35ca05,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0xf1a3cbd0dd56f079c5ff7d7d3c3df7609d999bee348c8548e14fdea386a75ea0,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1626,0,0xb6605f98a5562b1ac821bc5f2b75934239e8c6d6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x7c740cc637a68d714a2dc4f7bfcc3ac3b2c2f58d43f520e0216e36965ff64b2a,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1627,0,0xb6605f98a5562b1ac821bc5f2b75934239e8c6d6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x51d5dab7d16c48662d27734b07112787e62bcc1983c59b39bf35227ee35fac75,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1628,0,0xb6605f98a5562b1ac821bc5f2b75934239e8c6d6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
0x11f147fb9a87a2d49f62f3f7fb21e54abc849c0668242f315ab2d290aaeecee1,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,0xc14D994fe7C5858c93936cc3bD42bb9467d6fB2C,25077221,1778567051,2026-05-12T06:24:11Z,bridgeNFTsV1,1629,0,0xb6605f98a5562b1ac821bc5f2b75934239e8c6d6,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3
